CYGOLO,Cygnus olor,,kyhmyjoutsen,knölsvan,Mute Swan,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/04/07/17/19/swan-3299015__340.jpg
CYGCOL,Cygnus columbianus,,pikkujoutsen,mindre sångsvan,Bewick's Swan,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2019/11/12/00/30/swan-4619782__340.jpg
CYGCYG,Cygnus cygnus,,laulujoutsen,sångsvan,Whooper Swan,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2019/03/25/16/38/swan-4080681__340.jpg
ANSFAB,Anser fabalis,,metsähanhi,sädgås,Bean Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2014/04/21/22/08/bean-goose-329430__340.jpg
ANSBRA,Anser brachyrhynchus,,lyhytnokkahanhi,spetsbergsgås,Pink-footed Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/04/20/01/47/goose-3334889__480.jpg
ANSALB,Anser albifrons,,tundrahanhi,bläsgås,White-fronted Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/03/09/16/13/white-fronted-geese-6082265__340.jpg
ANSERY,Anser erythropus,,kiljuhanhi,fjällgås,Lesser White-fronted Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2015/11/21/12/59/goose-1054842__480.jpg
ANSANS,Anser anser,,merihanhi,grågås,Greylag Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/06/15/20/58/goose-3477674__480.jpg
ANSIND,Anser indicus,C,tiibetinhanhi,stripgås,Bar-headed Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/08/02/04/36/bar-headed-goose-6515827__340.jpg
BRACAN,Branta canadensis,C,kanadanhanhi,kanadagås,Canada Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/12/02/12/03/canada-goose-5797336__340.jpg
BRAHUT,Branta hutchinsii,,pikkukanadanhanhi,dvärgkanadagås,Cackling Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/03/31/15/54/tundra-goose-6139869__480.jpg
BRALEU,Branta leucopsis,,valkoposkihanhi,vitkindad gås,Barnacle Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/06/06/16/48/barnacle-goose-5267333__340.jpg
BRABER,Branta bernicla,,sepelhanhi,prutgås,Brant Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2013/02/27/14/34/brent-goose-86582__480.jpg
BRARUF,Branta ruficollis,,punakaulahanhi,rödhalsad gås,Red-breasted Goose,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/04/23/22/16/wildlife-3345780__480.jpg
